respL,path,trialNum,pID,respR,walk,ISI_press_raw,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,order
"['s', 'space']",img/target_12.png,1,2,"['j', 'semicolon']",1,False,0.05000000074505806,0.0,0.005124807357788086,"['s', 'space']",8.342082023620605,0.0
"['s', 'd']",img/target_10.png,2,2,"['j', 'k']",2,False,0.05000000074505806,1.0,12.420392990112305,"['d', 's']",16.406091690063477,1.0
"['f', 'space']",img/target_15.png,3,2,"['l', 'semicolon']",3,False,0.05000000074505806,1.0,28.925247192382812,"['f', 'space']",2.894040822982788,2.0
"['a', 's']",img/target_6.png,4,2,"['space', 'j']",4,False,0.05000000074505806,0.0,31.90659523010254,"['a', 's']",1.56072998046875,3.0
"['a', 'space']",img/target_9.png,5,2,"['space', 'semicolon']",5,False,0.05000000074505806,0.0,36.39297103881836,"['a', 'space']",7.969977378845215,4.0
"['d', 'f']",img/target_13.png,6,2,"['k', 'l']",6,False,0.05000000074505806,1.0,51.0955810546875,"['d', 'f']",1.9543390274047852,5.0
"['a', 'd']",img/target_7.png,7,2,"['space', 'k']",7,False,0.05000000074505806,0.0,53.14422607421875,"['a', 'd']",3.8732481002807617,6.0
"['d', 'space']",img/target_14.png,8,2,"['k', 'semicolon']",8,False,0.05000000074505806,1.0,57.895904541015625,"['d', 'space']",2.153923988342285,7.0
"['a', 'f']",img/target_8.png,9,2,"['space', 'l']",9,False,0.05000000074505806,0.0,60.14364242553711,"['a', 'f']",3.7463200092315674,8.0
"['s', 'f']",img/target_11.png,10,2,"['j', 'l']",10,False,0.05000000074505806,1.0,66.71153259277344,"['f', 's']",3.393278121948242,9.0
